Entity 1;Entity 2;KG - Cosine Similarity;Label
http://purl.obolibrary.org/obo/3654;http://purl.obolibrary.org/obo/C1846058;0.07870126938224126;1
http://purl.obolibrary.org/obo/3557;http://purl.obolibrary.org/obo/C0005684;-0.026367479062730542;0
http://purl.obolibrary.org/obo/4915;http://purl.obolibrary.org/obo/C0004114;-0.09012159237812432;1
http://purl.obolibrary.org/obo/6647;http://purl.obolibrary.org/obo/C1848934;-0.07783555727651949;0
http://purl.obolibrary.org/obo/5654;http://purl.obolibrary.org/obo/C0751587;-0.00583418505608663;1
http://purl.obolibrary.org/obo/84879;http://purl.obolibrary.org/obo/C2239176;-0.01734073409571298;1
http://purl.obolibrary.org/obo/5087;http://purl.obolibrary.org/obo/C4721444;0.021166349397404697;1
http://purl.obolibrary.org/obo/4942;http://purl.obolibrary.org/obo/C0345904;-0.09830831751704576;1
http://purl.obolibrary.org/obo/3845;http://purl.obolibrary.org/obo/C1858726;-0.08895344616676926;0
http://purl.obolibrary.org/obo/9227;http://purl.obolibrary.org/obo/C2239176;-0.035617997361897906;0
http://purl.obolibrary.org/obo/3654;http://purl.obolibrary.org/obo/C2020284;0.011320516966936825;0
http://purl.obolibrary.org/obo/7172;http://purl.obolibrary.org/obo/C0342801;-0.014110683060501833;1
http://purl.obolibrary.org/obo/51567;http://purl.obolibrary.org/obo/C0752123;0.0337981808478953;1
http://purl.obolibrary.org/obo/3845;http://purl.obolibrary.org/obo/C0007131;-0.046582664284081685;1
http://purl.obolibrary.org/obo/9897;http://purl.obolibrary.org/obo/C4551776;0.05060113480811579;1
http://purl.obolibrary.org/obo/2353;http://purl.obolibrary.org/obo/C0087031;-0.12161102183043294;1
http://purl.obolibrary.org/obo/6905;http://purl.obolibrary.org/obo/C0152013;0.0664700998295591;0
http://purl.obolibrary.org/obo/285848;http://purl.obolibrary.org/obo/C0020758;-0.04284352756812542;1
http://purl.obolibrary.org/obo/6347;http://purl.obolibrary.org/obo/C0010346;0.07869244778573112;1
http://purl.obolibrary.org/obo/546;http://purl.obolibrary.org/obo/C0027819;-0.039959606166234715;1
http://purl.obolibrary.org/obo/1144;http://purl.obolibrary.org/obo/C0152013;-0.00966837833494919;0
http://purl.obolibrary.org/obo/3717;http://purl.obolibrary.org/obo/C0005684;-0.08361848991315768;0
http://purl.obolibrary.org/obo/6532;http://purl.obolibrary.org/obo/C0036341;0.11580380552259892;0
http://purl.obolibrary.org/obo/1621;http://purl.obolibrary.org/obo/C0031511;-0.005944693954919452;1
http://purl.obolibrary.org/obo/4729;http://purl.obolibrary.org/obo/C1850600;0.08618012652878297;1
http://purl.obolibrary.org/obo/9319;http://purl.obolibrary.org/obo/C4539839;-0.05493275740641824;1
http://purl.obolibrary.org/obo/83538;http://purl.obolibrary.org/obo/C1844678;-0.0709429851730605;0
http://purl.obolibrary.org/obo/7374;http://purl.obolibrary.org/obo/C0005859;0.039321814934188334;1
http://purl.obolibrary.org/obo/1956;http://purl.obolibrary.org/obo/C0085548;-0.02659190983865301;1
http://purl.obolibrary.org/obo/2735;http://purl.obolibrary.org/obo/C0238198;0.010635314459495816;1
http://purl.obolibrary.org/obo/7148;http://purl.obolibrary.org/obo/C1839735;0.10681079697565594;0
http://purl.obolibrary.org/obo/9084;http://purl.obolibrary.org/obo/C1839071;-0.10333795865922185;1
http://purl.obolibrary.org/obo/7428;http://purl.obolibrary.org/obo/C0376358;-0.027116997318811342;0
http://purl.obolibrary.org/obo/283489;http://purl.obolibrary.org/obo/C0270972;-0.031578113113151694;0
http://purl.obolibrary.org/obo/7430;http://purl.obolibrary.org/obo/C0027819;0.007793636657899088;0
http://purl.obolibrary.org/obo/9786;http://purl.obolibrary.org/obo/C2749562;-0.1418355179996135;0
http://purl.obolibrary.org/obo/5444;http://purl.obolibrary.org/obo/C4748277;-0.0488517191730216;0
http://purl.obolibrary.org/obo/3107;http://purl.obolibrary.org/obo/C0038325;0.006095203201196616;1
http://purl.obolibrary.org/obo/3553;http://purl.obolibrary.org/obo/C0022541;-0.07690036645740625;1
http://purl.obolibrary.org/obo/5889;http://purl.obolibrary.org/obo/C0566602;0.042544087560273516;0
http://purl.obolibrary.org/obo/6262;http://purl.obolibrary.org/obo/C2677794;-0.03410099169730654;1
http://purl.obolibrary.org/obo/4835;http://purl.obolibrary.org/obo/C0282529;-0.04402731468992167;0
http://purl.obolibrary.org/obo/7039;http://purl.obolibrary.org/obo/C1708349;-0.10617618299726016;1
