Entity A;Entity B;;
5149;C1864900;;
23092;C3463824;;
7124;C1708349;;
10253;C3837958;;
118;C0085580;;
2516;C0342482;;
26278;C0751779;;
3991;C3494162;;
816;C0036341;;
5339;C4721508;;
4137;C0011848;;
5313;C1136043;;
4853;C1956125;;
650;C2751544;;
2562;C0393591;;
23385;C2931891;;
54487;C0220704;;
2903;C0036341;;
348980;C0009405;;
2322;C1961102;;
7280;C0022336;;
84100;C0376358;;
8379;C0036341;;
78989;C0796032;;
2539;C0018203;;
5309;C0752124;;
9325;C0085215;;
4548;C0036341;;
8204;C0024306;;
6655;C1275081;;
203286;C2239176;;
2670;C0265221;;
1144;C0751884;;
54790;C0023467;;
5087;C4539968;;
57231;C0752122;;
1399;C0012236;;
8754;C0025286;;
9469;C4551479;;
3265;C0005684;;
9091;C4552072;;
27022;C0344559;;
867;C3810359;;
9672;C1704417;;
22926;C0022336;;
3854;C0035334;;
2064;C0345905;;
6812;C0238198;;
8878;C0023467;;
7153;C0752120;;
2263;C0238198;;
5728;C0009402;;
324;C0699791;;
7450;C0001973;;
5428;C0005684;;
4869;C0024305;;
50484;C3810350;;
1956;C0029463;;
1565;C0006142;;
5139;C0038454;;
10939;C3151147;;
8737;C0009324;;
51135;C0024141;;
5604;C0587248;;
6774;C0376358;;
51738;C0152426;;
8890;C3501844;;
10083;C0265219;;
2896;C1619700;;
5605;C0087031;;
4929;C0042487;;
2936;C1868675;;
374291;C0025237;;
3566;C2239176;;
10683;C0006142;;
4323;C1708349;;
5274;C0345904;;
84295;C0265338;;
4524;C1866558;;
4359;C1644196;;
2332;C0036341;;
3149;C3806742;;
5649;C0027819;;
3667;C1168401;;
8314;C4310804;;
23345;C0001973;;
8216;C0476089;;
6888;C0036341;;
1297;C0345905;;
6833;C3837958;;
4968;C0009402;;
65266;C2678492;;
57192;C0023806;;
3845;C3645536;;
7450;C4721436;;
5921;C1843181;;
1200;C0002395;;
55165;C0006142;;
7157;C0345904;;
2571;C0004352;;
1294;C0079136;;
5950;C3463824;;
7015;C0206686;;
57410;C2697932;;
6774;C0004352;;
9187;C3495587;;
242;C1860789;;
9581;C0751883;;
7169;C0270911;;
673;C0162309;;
372;C4310686;;
3845;C0376358;;
1301;C0432272;;
1829;C0035334;;
6583;C3536797;;
4771;C1136041;;
1201;C1720956;;
5830;C1839071;;
81031;C4707243;;
2253;C0220704;;
4771;C4048809;;
2065;C1858351;;
2896;C1850792;;
54756;C4554007;;
3952;C0002395;;
5604;C0003873;;
100134444;C0003873;;
3777;C0878682;;
650;C0265534;;
56616;C0376358;;
1559;C0750384;;
10019;C0007131;;
5981;C0376358;;
8301;C0023467;;
27229;C0026010;;
58;C0002395;;
5885;C1860789;;
2672;C0001973;;
5888;C0752124;;
1636;C0009402;;
5728;C0029459;;
29980;C1855079;;
6204;C2750081;;
151;C0343073;;
2562;C0004352;;
10653;C1704417;;
56916;C0587248;;
9581;C0221356;;
3145;C2936779;;
540;C0265219;;
154;C0162872;;
27249;C3151303;;
4544;C0022716;;
3098;C0752123;;
3119;C2239176;;
10519;C2931009;;
1301;C3541456;;
29967;C0270952;;
2556;C0004352;;
3717;C4048328;;
7042;C2697932;;
472;C0025149;;
9509;C0345967;;
65217;C0342482;;
1956;C0152013;;
5111;C1858391;;
79803;C3888007;;
1758;C3280670;;
27030;C0009402;;
3553;C1720859;;
10815;C0020072;;
9378;C1970431;;
1352;C0152013;;
7468;C0006142;;
2898;C0024145;;
2248;C2239176;;
657;C0206624;;
7037;C0024305;;
5244;C0566602;;
2296;C1866560;;
775;C0175707;;
5429;C0015625;;
596;C0013366;;
8452;C0376358;;
6925;C0036341;;
54902;C3554605;;
5649;C1866040;;
9364;C0001973;;
3417;C0345967;;
8120;C1853761;;
5921;C4721532;;
8660;C0025149;;
57216;C1842983;;
1906;C3665349;;
207;C0029463;;
1639;C3551954;;
7248;C0751779;;
55835;C0010674;;
8540;C4552070;;
4163;C0004352;;
3458;C4552072;;
5894;C0348626;;
55033;C0268342;;
5605;C0028326;;
343641;C0752125;;
51083;C2936783;;
8431;C0028754;;
10397;C0279702;;
5468;C0004763;;
94;C3203102;;
471;C0009402;;
3107;C1862941;;
6855;C2697932;;
427;C1800706;;
10021;C4707243;;
57688;C4693405;;
92482;C0006142;;
50628;C0751291;;
29968;C0152013;;
64240;C1866558;;
57514;C0004352;;
2;C0795907;;
6584;C0268579;;
3265;C0036341;;
5922;C3501846;;
554;C1563706;;
1487;C3837958;;
3458;C1168401;;
2122;C4551952;;
3458;C0221356;;
7414;C0036341;;
55967;C1850597;;
2064;C0152013;;
80025;C0036341;;
2053;C0036341;;
2332;C0751156;;
374654;C1708349;;
6591;C2751763;;
4729;C0085580;;
84433;C0279702;;
627;C0268237;;
5894;C0030044;;
3070;C0152013;;
5741;C1856059;;
284439;C0019202;;
3845;C4520892;;
1910;C1838099;;
5428;C0238198;;
6389;C1850598;;
