Nr;Entity A;Entity B;BMA_Seco2004;BMA_Resnik1995;simGIC_Seco2004;simGIC_Resnik1995;MAX_Seco2004;MAX_Resnik1995;Label
1;2;C0002395;0.9441627312758427;0.6097231230490685;1.0;1.0;1.0;0.8380863976767118;1
2;2;C0019202;0.3622174784152726;0.18893711313307338;0.05266222599811627;0.04552967324620927;0.8246462350802095;0.5161961963664041;1
3;2;C0276496;0.472170915954318;0.27458704734549433;0.19148782407035617;0.18582533591797717;1.0;0.7084789889984733;1
4;2;C2239176;0.35328047092610804;0.1395634815994765;0.06950842627273292;0.03844932571404446;1.0;0.43978981997532246;1
5;18;C0004352;0.3990844648207361;0.18629478277634373;0.09462943358016279;0.08158960660618955;0.6811405190115479;0.28756608446770515;1
6;19;C0036341;0.2880411107780862;0.137293393812567;0.021436590741174655;0.013221427022598903;0.7964917113448995;0.2496529855650891;1
7;19;C0473527;0.6334928446544864;0.411583865767404;0.3086609381760158;0.298299837311662;1.0;0.7576489309828565;1
8;19;C0745103;0.5107230832620915;0.34305829629436113;0.1507354096301559;0.14312711565236494;0.7964917113448995;0.6534887224867459;1
9;19;C1704417;0.569433007825622;0.3938910232280367;0.20369134931131605;0.20234861847588156;0.8643278075632663;0.6556635395044564;1
10;19;C2931838;0.7001891110792593;0.4458102661107086;0.4164589772473442;0.40416772456836525;1.0;0.7830961311649846;1
11;21;C0009402;0.23593109558788766;0.10321588280826546;0.020514929793591843;0.013970050558715896;0.6608195189081659;0.2736869816164421;1
12;21;C1861829;0.05785684817029875;0.04006892564787003;0.0017209053464839596;0.0018710657702735176;0.05795808498020749;0.040161738477066174;1
13;24;C0008924;0.33209938621656876;0.19371766006735947;0.0801276760117665;0.07183726129440708;0.7849646625971527;0.4526541350569478;1
14;24;C0009402;0.2438086307526169;0.11570982203419532;0.01966904814527645;0.014265263549021273;0.7964917113448995;0.2748308507364292;1
15;24;C0035334;0.7802325525142837;0.4307900441663435;0.7800986516598613;0.7296676074807275;1.0;0.6084146466498339;1
16;24;C1858080;0.7058331335923564;0.5066441401941133;0.29530615809345034;0.3370138125063664;1.0;0.9013615034098842;1
17;24;C1866422;0.6775768411141072;0.4279802956596185;0.20052443054651836;0.20558996340669225;1.0;0.7159060565024613;1
18;24;C4282180;0.6679626685785389;0.4940196953754232;0.26324717124896135;0.3060311382809186;1.0;0.7905231986689726;1
19;25;C0006142;0.4361788070951882;0.20394531888986583;0.03605851314223233;0.031421373548960914;0.9321639037816332;0.4984907863210123;1
20;25;C0345904;0.41390530224147626;0.211467763156299;0.03786668662773586;0.03227201234865683;0.9321639037816332;0.4984907863210123;1
21;25;C1961102;0.46394238592943415;0.27779705714826697;0.05392633980218285;0.06074782596937108;0.8643278075632663;0.7281058646532572;1
22;31;C0268603;0.8101896369333563;0.32578315750074904;1.0000000000000002;1.0;0.9321639037816332;0.45399558270768386;1
23;31;C2239176;0.2840311227031919;0.08773502314316704;0.03383228321509337;0.018608351206368657;0.6608195189081659;0.16702383092000184;1
24;34;C0028754;0.4188730964514171;0.16881889564229807;0.032175103701934826;0.019819751911264;0.9321639037816332;0.2901864924938671;1
25;34;C0038644;0.32885351851034256;0.14553481593197914;0.027814892308661958;0.018831255575239618;0.9321639037816332;0.26483240489703946;1
26;36;C0004352;0.4600652618923583;0.21638718386219935;0.14088340330811505;0.12343423528646297;0.8643278075632663;0.38228575985768404;1
27;39;C0342735;0.921910584164428;0.48872912040395944;0.9999999999999997;1.0000000000000002;1.0;0.6830317888163452;1
28;50;C2239176;0.2207023258339818;0.07438851584448389;0.008658372594639422;0.004861725862620662;0.6608195189081659;0.16702383092000184;1
29;51;C2239176;0.35476320548478074;0.15731625672796737;0.032406551748731395;0.031247977047176176;0.6608195189081659;0.34836735419943726;1
30;53;C0268410;0.8340534663539046;0.4087706142637084;1.0;1.0;1.0;0.7084789889984733;1
31;54;C0028754;0.3331534399161173;0.11582221073522671;0.017632001280655694;0.008255840641710418;0.9321639037816332;0.23435950839754238;1
32;58;C0410203;0.6368014956155218;0.367401925051914;0.21711278247848598;0.20734271295000423;1.0;0.6888521133436892;1
33;58;C0410207;0.6011216042516309;0.3743045682537477;0.16798124388502764;0.16844250343840983;1.0;0.807117485588589;1
34;58;C1834339;0.7697720820566869;0.4536466300879956;0.34271885707550404;0.3203958839225663;1.0;0.8651403408354839;1
35;58;C1834558;0.673254263127679;0.39855150676867823;0.24607510678298813;0.2336556583992026;1.0;0.6982188690184281;1
36;58;C2750537;0.7697720820566869;0.4536466300879956;0.34271885707550404;0.3203958839225663;1.0;0.8651403408354839;1
37;58;C3645536;0.6668136937888232;0.3953593376346892;0.2308281692725966;0.22330134919111386;1.0;0.6982188690184281;1
38;58;C4551952;0.673254263127679;0.39855150676867823;0.24607510678298813;0.2336556583992026;1.0;0.6982188690184281;1
39;59;C0006142;0.37342470100871794;0.14342642707828573;0.021101190174617014;0.01562728465859739;0.7964917113448995;0.3174617096893736;1
40;59;C0162872;0.7287571320671161;0.508353538352791;0.317145151577612;0.3369827882148164;1.0;0.7634692555102005;1
41;59;C1876165;0.42566014064857005;0.23934497311979655;0.11567441620917118;0.10561441400853659;1.0;0.5548502258966302;1
42;59;C4707243;0.8418836827204037;0.5572860751479896;0.7362316795166349;0.7390762946702296;1.0;0.7634692555102005;1
43;60;C0009363;0.517921349750223;0.30497270773623;0.08986924674714426;0.08427582452637694;1.0;0.7121284836108672;1
44;60;C0036341;0.31802874441184054;0.15616151283930801;0.014994307305015393;0.010445384740353511;0.7964917113448995;0.45165890657269564;1
45;60;C1853623;0.7478442018913461;0.39286484174668246;0.43811448683455545;0.3949106807131266;1.0;0.7325003434220777;1
46;60;C2239176;0.3254033460822847;0.14471209353935277;0.012255769123168475;0.010044415382301471;0.7964917113448995;0.28945218009016366;1
47;60;C4554007;0.517921349750223;0.30497270773623;0.08986924674714426;0.08427582452637694;1.0;0.7121284836108672;1
48;70;C1449563;0.5841268819534051;0.3574197299238061;0.19145964855527473;0.17191172427247692;1.0;0.5657148789269278;1
49;70;C1708349;0.23257715681246843;0.11981026474240897;0.06983156072605118;0.05733835040687245;0.7964917113448995;0.2496529855650891;1
50;71;C0009363;0.523323194207254;0.3009868634180025;0.11279568900095113;0.10614938242795996;1.0;0.7121284836108672;1
51;71;C0029456;0.29237093474009734;0.13121758169540834;0.011611552158293802;0.008275517801326378;0.7964917113448995;0.2496529855650891;1
52;71;C0029459;0.29237093474009734;0.13121758169540834;0.011611552158293802;0.008275517801326378;0.7964917113448995;0.2496529855650891;1
53;71;C1853623;0.689109555625063;0.3640890495587677;0.40646601966467066;0.36870244736248736;1.0;0.6982188690184281;1
54;71;C4554007;0.523323194207254;0.3009868634180025;0.11279568900095113;0.10614938242795996;1.0;0.7121284836108672;1
55;90;C0004114;0.3628679014364704;0.20305544557722463;0.03053207729556945;0.022678983269295898;0.7964917113448995;0.4075712890232026;1
56;90;C0006142;0.40518250430700864;0.17220509955189944;0.024707548563478978;0.017560801822722617;0.7964917113448995;0.28945218009016366;1
57;90;C0027122;0.7097187389067106;0.4792520024965961;0.4917870026291946;0.4855278100196181;1.0;0.9253828578334887;1
58;90;C0085576;0.3238861036911623;0.17670098692337213;0.07304477588764743;0.055849099673399676;0.8095600013881947;0.3838573174177805;1
59;93;C0037221;0.6066186238284673;0.32818260608889116;0.3204686229192114;0.2822168979249661;0.9321639037816332;0.5565865503285465;1
60;93;C0175707;0.6338917940771451;0.3814110080753216;0.18105906996468246;0.16698246304731376;0.9321639037816332;0.6269142891674436;1
61;93;C0265357;0.6338917940771451;0.3814110080753216;0.18105906996468246;0.16698246304731376;0.9321639037816332;0.6269142891674436;1
62;93;C3178806;0.6338917940771451;0.3814110080753216;0.18105906996468246;0.16698246304731376;0.9321639037816332;0.6269142891674436;1
63;94;C0039445;0.896213044159629;0.6596598047211432;0.8662864372454228;0.8534464273062241;1.0;0.8817346277551001;1
64;94;C3203102;0.5359738750117726;0.3458905353782705;0.12223464136330801;0.1049292609220507;1.0;0.5548502258966302;1
65;94;C4551861;0.896213044159629;0.6596598047211432;0.8662864372454228;0.8534464273062241;1.0;0.8817346277551001;1
66;94;C4707243;0.5048926830861054;0.33944537200404734;0.16063497682780029;0.15225107631130666;1.0;0.7281058646532572;1
67;95;C0279702;0.22177912680845707;0.07463513316264651;0.012929251503857313;0.0072565559942314554;0.6608195189081659;0.16702383092000184;1
68;100;C0004352;0.2011026215286575;0.10480890943728913;0.02806799794834153;0.02348186842662371;0.6608195189081659;0.26483240489703946;1
69;100;C0220744;0.5388516112315092;0.3437712257780882;0.18311813586552303;0.16697979084754755;1.0;0.7325003434220777;1
70;100;C1863239;0.8252403674869633;0.6088494557904385;0.8275369049287822;0.8374800092347323;1.0;0.9253828578334887;1
71;102;C0002395;0.32642868283967114;0.11355663396975682;0.05878853242189185;0.028512811708558614;0.7964917113448995;0.2496529855650891;1
72;102;C0006142;0.48562355334895657;0.1504364792458087;0.1287621320320627;0.06675210734563626;0.7964917113448995;0.2496529855650891;1
73;102;C0276496;0.0576037561455269;0.039836893574879656;0.002113442233129278;0.002389481666057493;0.05795808498020749;0.040161738477066174;1
74;102;C3714534;0.5778192323144111;0.23613163245026814;0.3218728016960293;0.21771033771892787;0.7964917113448995;0.2496529855650891;1
75;102;C4552092;0.5778192323144111;0.23613163245026814;0.3218728016960293;0.21771033771892787;0.7964917113448995;0.2496529855650891;1
76;103;C0796126;0.6503401621166891;0.3769141501174704;0.2817282673682341;0.2543734341500187;1.0;0.8164842412633277;1
77;103;C3489724;0.5277371643182014;0.30963476277020346;0.11669872113974278;0.10850099862109457;1.0;0.807117485588589;1
78;103;C3489725;0.5935625642018061;0.31624333131732196;0.2209044049222475;0.18695646138159652;1.0;0.5799534967735284;1
79;107;C0149925;0.3593888019441867;0.103592784698534;0.06022599099609188;0.033319503283828836;0.6608195189081659;0.16702383092000184;1
80;107;C1857809;0.9660819518908166;0.49391208676647785;1.0;0.9999999999999998;1.0;0.7634692555102005;1
81;109;C0028754;0.5313869848664159;0.21776095231020778;0.21389041455412225;0.1592359892164214;0.9321639037816332;0.4371605223014966;1
82;111;C0001973;0.29520903050389113;0.17153289172841243;0.022806972633017192;0.023674602479655357;0.3835419963201089;0.21392413571274765;1
83;111;C0011860;0.26850420957950905;0.12240480796370323;0.061387218723915705;0.04241592113901241;0.7964917113448995;0.322315993803854;1
84;111;C0029456;0.30019047628421003;0.1285181241837259;0.037848875050418694;0.023337496251916924;0.7964917113448995;0.2496529855650891;1
85;111;C0029459;0.30019047628421003;0.1285181241837259;0.037848875050418694;0.023337496251916924;0.7964917113448995;0.2496529855650891;1
86;118;C0085580;0.9491229278362249;0.740030559538752;1.0;1.0;1.0;0.8164842412633277;1
87;118;C2239176;0.2840311227031919;0.08773502314316704;0.03380187988960399;0.016467899219799565;0.6608195189081659;0.16702383092000184;1
88;125;C0001973;0.6142730707397377;0.43755034842673346;1.0;1.0;1.0;0.7281058646532572;1
89;125;C0007785;0.22854614147947538;0.14699483220020976;0.05668981366177488;0.055469114946406696;0.22854614147947538;0.14699483220020976;1
90;125;C0009402;0.05775561136039001;0.03997611281867387;0.003710318669369576;0.003632498991210721;0.05795808498020749;0.040161738477066174;1
91;125;C0028754;0.0576037561455269;0.039836893574879656;0.007912195910370427;0.009019375162046334;0.05795808498020749;0.040161738477066174;1
92;125;C0279626;0.05795808498020749;0.040161738477066174;0.004170544558122789;0.004087903533380457;0.05795808498020749;0.040161738477066174;1
93;126;C0001973;0.44247549782805884;0.30095529293750983;0.04911830678102525;0.054569702795006995;1.0;0.7281058646532572;1
94;126;C3160718;0.8895530245396019;0.5635408020473639;0.9678740432705588;0.9616359709961718;1.0;0.7761485735004662;1
95;132;C0036341;0.2835348900486417;0.13050131884549776;0.019648577226490643;0.01404992497742195;0.6608195189081659;0.23797270535100065;1
96;151;C1842852;0.5081073789557021;0.3010217192293475;0.24223697958845428;0.2030985772847513;0.8095600013881947;0.47477598107742036;1
97;151;C2239176;0.0576037561455269;0.039836893574879656;0.003640538259936063;0.004030448655250705;0.05795808498020749;0.040161738477066174;1
98;154;C0004352;0.3510330313483692;0.18260368438460745;0.06685032237362147;0.06153836514124226;0.8643278075632663;0.5843932922262295;1
99;154;C0028754;0.8652993123590316;0.4870422550928567;0.8000336936113833;0.7733136970793573;1.0;0.7830961311649846;1
100;154;C0376358;0.44071879887160137;0.13310047367494449;0.06651528304850415;0.032198653932154965;0.7964917113448995;0.2496529855650891;1
101;154;C1449563;0.2847856404192627;0.11472874094058974;0.06360192519385373;0.04341584182564557;0.7964917113448995;0.2610006403163733;1
102;154;C1708349;0.34096067353245596;0.13387703001080775;0.06190575025879721;0.04197236472268381;0.7964917113448995;0.2610006403163733;1
103;155;C0028754;0.9230359360857879;0.512008646484458;1.0;1.0;1.0;0.7830961311649846;1
104;158;C0004352;0.4884346841843349;0.23855148456300607;0.12565506171975124;0.10914218643788152;1.0;0.5161961963664041;1
105;174;C0006142;0.43474648118518155;0.11945054625390096;0.05191367263923449;0.026352136402809017;0.6608195189081659;0.16702383092000184;1
106;174;C1708349;0.26895958685499294;0.08456347083209365;0.02545635723141555;0.012286835866587204;0.6608195189081659;0.16702383092000184;1
107;174;C2239176;0.3593888019441867;0.103592784698534;0.03431362730546484;0.01686800843014998;0.6608195189081659;0.16702383092000184;1
108;175;C0036341;0.2937591402656411;0.1327426580371523;0.016375303227580112;0.011366570872581796;0.677446993895729;0.2553105062936732;1
109;176;C0003873;0.2395808309728635;0.1677521212825088;0.039130260974193344;0.039049265223129896;0.688974042643476;0.48689395738773533;1
110;176;C0238288;0.3397216135133906;0.21105372264468944;0.08174728961088484;0.07472007439206804;0.9321639037816332;0.5144069621418338;1
111;181;C0028754;0.9230359360857879;0.512008646484458;1.0;1.0;1.0;0.7830961311649846;1
112;182;C0006142;0.3803685596461832;0.14877251243678957;0.01725373847712232;0.01460972197480641;0.7964917113448995;0.3174617096893736;1
113;182;C0026654;0.3427601856274412;0.1926735624353611;0.044579881122424274;0.03840723163564562;0.8095600013881947;0.44309314077640233;1
114;182;C0036341;0.2976242346798843;0.13579133259871268;0.017164732736486228;0.010772090808635455;0.7964917113448995;0.2553105062936732;1
115;182;C0085280;0.8652774011933542;0.5465499328355086;0.8653882718271358;0.8751029409718495;1.0;0.9013615034098842;1
116;182;C1621958;0.3095776367315272;0.16235966589669462;0.01446998899946087;0.011165553607152748;0.7964917113448995;0.29523998448102623;1
117;182;C1857761;0.6134553117160874;0.3801056744698267;0.2515475905320466;0.24602338941590363;1.0;0.7325003434220777;1
118;182;C4707243;0.43799931275103354;0.2810123309882292;0.09817259311373158;0.09710555428097789;1.0;0.5330916017508031;1
119;183;C0032914;0.4411775001594905;0.2743289109029523;0.10572715395659717;0.10341398376282673;1.0;0.7830961311649846;1
120;183;C0035344;0.29565850701050217;0.16773089829183369;0.0521597721277226;0.04677307826405943;0.6608195189081659;0.33078371484808433;1
121;183;C0085580;0.6633585612434829;0.49947401269590325;0.17919437187037285;0.1826862687718262;1.0;0.8164842412633277;1
122;185;C0085580;0.6633585612434829;0.49947401269590325;0.17919437187037285;0.1826862687718262;1.0;0.8164842412633277;1
123;186;C1708349;0.37341788398928955;0.23267535836354758;0.05866029027031474;0.0592911639163779;0.6849789246861835;0.46650630272931465;1
124;190;C1848296;0.6244134636836159;0.4061563593613489;0.03672030711827532;0.0328663931710303;1.0;0.7696223462406026;1
125;190;C3489396;0.7516750650894504;0.4072608443651804;0.2398756819080951;0.21336298438918266;1.0;0.6601495961443623;1
126;191;C0019202;0.4398453929832683;0.24912173124716647;0.12715254311547988;0.11171895448031603;1.0;0.6002347804069349;1
127;191;C0152013;0.39023872564369994;0.1430292564086202;0.024677799113778254;0.017371805472297747;0.9321639037816332;0.29523998448102623;1
