22948	0003730;0005515;0005524;0005813;0005829;0005832;0005874;0006457;0007339;0009615;0031681;0032212;0044297;0048027;0048487;0050821;0051082;0070062;1901998;1904851;1904871;1904874
3479	0000187;0001501;0001775;0002576;0005158;0005159;0005178;0005179;0005515;0005576;0005615;0007165;0007265;0007517;0008083;0008283;0008284;0009408;0009441;0010468;0010560;0010613;0010628;0010629;0014065;0014068;0014834;0014896;0014904;0014911;0016942;0030166;0030335;0031093;0032148;0032691;0032720;0034392;0035630;0035867;0040014;0042060;0042104;0042531;0042567;0043066;0043388;0043410;0043491;0043568;0044267;0045445;0045669;0045725;0045821;0045840;0045893;0045944;0046326;0046579;0048009;0048015;0048146;0048661;0050679;0050714;0050731;0050821;0051450;0060283;0061051;0070371;0070382;0070886;0090201;0150079;1902430;1904075;1904646;1904707;1905460;2000679;2001237
627	0001657;0001662;0005515;0005576;0005737;0005739;0007202;0007214;0007399;0007406;0007411;0007412;0007416;0007623;0007631;0008038;0010832;0010976;0014047;0016358;0016607;0030141;0031547;0031550;0032229;0042490;0042493;0046668;0048011;0048167;0048471;0048668;0048672;0048675;0048839;0051965;0060080;0061193;0097484;0098794;0099083;1900122;1903997;2000008;2001234;0005615;0007169;0038180;0021675;0033138;0048812;0045664;0043524;0008083;0007422;0005163;0030424;0050804;0030425;0008021;0031410;0007613
7518	0005515;0005634;0005654;0005829;0005958;0006302;0006303;0008022;0010165;0032807;0042802;0051103;0051351;0070419;0071285;0075713;0000793;0003677;0016874;0033152
6513	0000139;0001666;0001939;0005324;0005355;0005515;0005829;0005886;0005887;0005901;0005989;0007417;0007565;0010827;0014704;0015911;0016020;0016021;0016323;0016324;0019852;0019900;0021987;0030018;0030496;0030864;0032868;0033300;0042149;0042383;0042470;0042802;0042908;0042910;0043621;0045494;0050796;0055056;0065003;0070062;0070837;0071260;0071474;0072562;0098708;0098793;0150104;1904016;1904659
2316	0001664;0002576;0003723;0005515;0005576;0005634;0005730;0005737;0005829;0005884;0005886;0005911;0005925;0007195;0008134;0015459;0015629;0016020;0016479;0017048;0017160;0019900;0021943;0021987;0030018;0030168;0030334;0030426;0030863;0031267;0031523;0031532;0031852;0032233;0034329;0034394;0034988;0042177;0042307;0042789;0042803;0043066;0043113;0043123;0043198;0043204;0043433;0044319;0044325;0045184;0045296;0046332;0048365;0048471;0050821;0051015;0051020;0051220;0051607;0051764;0060271;0070062;0070527;0071526;0072659;0090042;0090307;0097368;0097440;0098794;0098978;1900026;1901381;1902396;1905000;1905031;2000179;2001046;2001224
1106	0000978;0003677;0003678;0003723;0005515;0005524;0005634;0005654;0005730;0006325;0006357;0006974;0007517;0032508;0042393;0043231;0060218
1786	0000122;0003677;0003723;0003886;0005515;0005634;0005654;0005657;0005721;0006306;0006325;0007265;0008270;0008327;0009008;0010216;0010628;0010629;0016458;0043045;0045814;0051571;0051573;0071230;0090116;0090309;1904707;1905460;1905931;1990841
4233	0000165;0001886;0004713;0005515;0005524;0005576;0005886;0007165;0007166;0009925;0009986;0010507;0016021;0017154;0018108;0019903;0031116;0035024;0035635;0042802;0045944;0048012;0048754;0050918;0051497;0051897;0061436;0070495;0071526;1901299;1905098;2001028;0005887;0007275;0043235;0007399;0004714;0031016;0030182;0006909;0001889;0016477;0005008;0033674;0007169
2670	0005200;0005515;0005737;0005829;0005882;0042802;0043254;0045109;0045111;1904714;0005764
