C0036341	0001425;0000746;0007086;0000006;0100753;0000738;0410291;0002353
C0002395	0002185;0002423;0410054;0001300;0002511;0000006;0000726;0001425
C0019202	0000829;0001402;0001271;0001332;0000124;0002749;0003076;0001399;0000093;0010838;0002015;0001337;0002307;0001394;0001878;0000787;0001260;0002240;0007327;0200032;0001259;0000726;0002150;0000939;0200122;0002758;0003109;0000751;0002040;0000007;0000934;0002275;0001382;0003355;0000978;0006554;0001369;0003418;0001155;0001744;0002653;0002355;0000952;0000989;0000716;0001508;0000718;0200119;0002756;0001873;0001903;0001249;0001386;0004324;0000140;0002312;0008994;0001824;0002910;0001397;0002829;0030214
C0276496	0002463;0001249;0030219;0002185;0010525;0001300;0000738;0000657;0001289;0002381;0012433;0001336;0003791;0000504;0000734;0001276;0002120;0001251;0002354;0000713;0001250;0010526
C2239176	0001413;0001425;0001428;0001402;0000006;0006572
C0001973	0000707;0030955
C0005684	0000006;0001428;0006740
C0376358	0001428;0000006;0012125
C0006142	0000006;0001425;0001428;0003002
C0152426	0000776;0002023;0002323;0002475;0010309;0001539;0010497;0005857
C0345904	0001413;0001425;0001428;0001402;0000006;0006572
C0345967	0100001;0001428
C1961102	0006721;0010982
C0004352	0000758;0001249;0000721;0000733;0000750;0000728;0000717;0000732;0000723;0001250;0003745;0003144;0001426;0002353;0011463;0001425
C0473527	0007957;0000991;0000622;0001744;0003457;0001903;0001392;0003233;0002716;0004374
C0745103	0003124;0001114;0000006;0001084
C1704417	0000006;0001677;0003124;0001114;0001084
C2931838	0000006;0005181;0001658;0003233;0007957;0000991;0000622;0001744;0003457;0001903;0001392;0002716;0004374
C0009402	0001428;0002891;0006753;0006716;0006740;0000006;0005584
C1861829	0001131;0007957;0000482;0000545;0000639;0000518;0000612
C0008924	0001518;0006332;0000389;0040115;0100336;0001696;0001561;0001572;0001537;0009088;0011438;0031469;0001328;0000405;0001762;0000668;0000220
C0035334	0005978;0001347;0000639;0000463;0000501;0000563;0008736;0001249;0000648;0000518;0000035;0008046;0000602;0000842;0000987;0000405;0000613;0000512;0000431;0000135;0007675;0007703;0000407;0000618;0001513;0001419;0000510;0031605;0001133;0000662;0000007;0000006
C1858080	0000493;0007814;0008002;0000603;0007722;0000551;0008059;0007663;0000662;0007704;0030329;0000649;0030500;0000608;0000610;0011504;0000007;0008035
C1866422	0000543;0000510;0007737;0000512;0007722;0007663;0000007;0000662;0001133;0007843
C4282180	0000493;0007814;0008002;0000603;0007722;0000551;0008059;0007663;0000662;0007704;0030329;0000649;0030500;0000608;0000610
C0038454	0001297
C0268603	0001510;0003198;0000007;0001290
C0028754	0001513;0000007;0010982;0012340;0031819;0000006
C0038644	0002047;0000007;0005949;0001426;0001699
C0342735	0001263;0001290;0002151;0003542;0002072;0003745
C0279702	0003745;0005584
C0268410	0001892;0001290;0002179;0001252;0000007;0002013
C0087031	0001701;0002202;0005681;0012122;0001744;0002716;0000988;0002240;0001945;0003565;0002027;0011227;0001386;0002960;0002829
C0410203	0003324;0011308;0010628;0009110;0000218;0001166;0000544;0003517;0001371;0001419;0000276;0004887;0001284;0002021;0000467;0006829;0001561;0002878;0000256;0001410;0000028;0000238;0002375;0000275;0002643;0001558;0002346;0000508;0001288;0001678;0000298;0001252;0003457;0003202;0002650;0001048;0001250
C0410207	0003458;0003554;0003394;0003326;0100301;0030200;0003557;0003687;0000662;0003581;0000544;0003198;0002359;0000006;0002093;0003738;0001371;0003236;0003388;0002522;0009046;0003677;0003552;0003701;0000615;0007126;0009005;0002600
C1834339	0001284;0002359;0000278;0001561;0000006;0003306;0001319;0001347;0001761;0000007;0003690;0002650;0003798;0001533;0000298;0002058;0008872;0001425;0010628;0003324;0002015;0003810;0001644;0008180;0002515;0001283;0003701;0003803;0003458;0003722;0001265;0003445;0000218;0002747;0001558;0002063;0001270;0001276;0002804;0003307
C1834558	0001048;0008994;0001436;0003458;0003687;0008981;0000508;0001561;0000883;0010546;0008997;0002047;0005268;0002021;0002355;0000020;0000544;0001290;0003803;0003738;0000028;0002522;0003477;0001558;0001520;0012768;0004488;0008180;0002747;0002194;0001284;0003701;0010628;0001270;0003677;0005335;0003307;0000006;0003712;0003388;0001371
C2750537	0001284;0002359;0000278;0001561;0000006;0003306;0001319;0001347;0001761;0000007;0003690;0002650;0003798;0001533;0000298;0002058;0008872;0001425;0010628;0003324;0002015;0003810;0001644;0008180;0002515;0001283;0003701;0003803;0003458;0003722;0001265;0003445;0000218;0002747;0001558;0002063;0001270;0001276;0002804;0003307
C3645536	0002093;0009046;0001290;0100807;0003700;0001761;0003403;0001270;0003803;0000218;0001654;0001260;0000411;0001712;0003273;0003551;0003323;0001349;0003391;0000278;0001618;0000276;0001284;0000160;0003307;0003691;0002515;0003687;0000602;0001256;0001762;0000193;0000750
C4551952	0001048;0008994;0001436;0003458;0003687;0008981;0000508;0001561;0000883;0010546;0008997;0002047;0005268;0002021;0002355;0000020;0000544;0001290;0003803;0003738;0000028;0002522;0003477;0001558;0001520;0012768;0004488;0008180;0002747;0002194;0001284;0003701;0010628;0001270;0003677;0005335;0003307;0000006;0003712;0003388;0001371
C0162872	0004944;0200146;0000965;0012763;0012163;0002875;0001640;0001659;0001677;0004959;0012499;0002616;0001297;0005162;0100749;0004950;0001643;0004933
C1876165	0002040;0001254;0002092;0003270;0001413;0000007;0000822;0410067;0410069;0001945;0000952
C4707243	0002875;0001640;0004944;0012499;0002105;0004950;0001166;0000822;0000525;0002107;0000766;0012163;0000278;0100749;0000316;0001643;0001677;0005112;0000965;0002140;0002138;0002686;0012763;0002616;0002650;0001647;0001659;0011106;0002705;0002326;0100775;0000978;0000098;0001763;0200146;0005162;0004933;0000023;0004959
C0009363	0000567;0000639;0000659;0025514;0002119;0007663;0000076;0000006;0000588;0001510;0007968;0012521;0007957;0000568
C1853623	0001263;0000219;0000407;0008897;0001249;0010066;0001250;0000278;0000431;0000243;0000508;0000568;0001252;0003196;0000463;0001939;0002553;0000204;0000396;0000028;0000369;0001508;0001643;0004322;0001302;0011800;0000307;0000054;0000286;0000470;0000343;0001647;0000006;0000252;0001650;0002119;0000202;0000567;0000612;0001290;0000154;0000637;0002162;0000007;0001274;0000316
C4554007	0000567;0000639;0000659;0025514;0002119;0007663;0000076;0000006;0000588;0001510;0007968;0012521;0007957;0000568
C1449563	0001644;0000006;0001635;0005110;0001698;0004308;0004749;0009125;0031409;0005162;0001279;0003560;0001645;0004755;0012723
C1708349	0002582;0000006;0012126;0000175;0000204
C0029456	0000939;0000006
C0029459	0000939;0000006
C0004114	0001428;0000006;0012174;0009592;0002888
C0027122	0000365;0001596;0003468;0011987;0100240;0001250;0002093;0010109;0001508;0001822;0001376;0011989;0010058;0000501;0001903;0010054;0004209;0001482;0001249;0003306
C0085576	0000007;0004447;0004840;0011273;0031877;0001249;0000962;0000980;0002242;0008064;0001406;0009830;0011967
C0037221	0001511;0001669;0002086;0001651;0000007;0001629;0003363;0000006;0001631
C0175707	0004935;0005160;0001696;0001636;0001631;0000023;0001746;0031565;0001274;0001642;0031834;0001748;0011536;0001629;0000007;0002101;0001674;0001669;0011565;0001750
