2	0002185;0002423;0410054;0001300;0002511;0000006;0000726;0001425
18	0000007;0007291;0001347;0025356;0001274;0001321;0001250;0002415;0000278;0006829;0001263;0003819;0000494;0025430;0001254;0000098
19	0000006;0005181;0001658;0003233;0001903;0001349;0001433;0004943;0000958;0100546;0008404;0002730;0030814;0002460;0003396;0007133;0001873;0002027;0003146;0001712;0000656;0006901;0005145;0002155;0003477;0007957;0000991;0000622;0001744;0003457;0001392;0002716;0004374;0003693;0002164;0001677;0000505;0007328;0010829;0011096;0002240;0000007;0025608;0001265;0007759
21	0030830;0100759;0010444;0025390;0002110;0012735;0025179;0002020;0025175;0002206;0002875;0001425;0003577;0001508;0002098;0002789;0002878;0005942;0000007;0006517;0002104
22	0001347;0001251;0001511;0000486;0001263;0000639;0001903;0001252;0002167;0002650;0001260;0002169;0001924;0004840;0003621;0001310;0002080;0003487;0002470;0001419;0002075;0001939
24	0000543;0000510;0007737;0000512;0007722;0007663;0000007;0000662;0001133;0007843;0000608;0000006;0000613;0000505;0000551;0007703;0000493;0007814;0008002;0000603;0008059;0007704;0030329;0000649;0030500;0000610;0011504;0008035;0005978;0001347;0000639;0000463;0000501;0000563;0008736;0001249;0000648;0000518;0000035;0008046;0000602;0000842;0000987;0000405;0000431;0000135;0007675;0000407;0000618;0001513;0001419;0000548;0000572
25	0001974;0005547;0001894;0012378;0004396;0001873;0001945;0001744;0001912;0000047;0012385;0000490;0003196;0000331;0002650;0000028;0000776;0000965;0003189;0000006;0000218;0004322;0000337;0002019;0000977;0001631;0002010;0002107;0001508;0000670;0000767;0000963;0001763;0001629;0002023;0040019;0002566;0000307;0001511;0000460;0000678;0001166;0001263;0001680;0004848;0001428;0004852;0005506
31	0001510;0003198;0000007;0001290
34	0000007;0002013;0001290;0002181;0002910;0008309;0001942;0001252;0001259;0003108;0002240;0001943;0001250;0003234;0001254;0001397;0001263;0002069;0001410;0001640;0001946;0005684;0003198;0040155;0011675;0003701;0003202;0001987;0002373;0003394;0030199;0000750;0002014;0003738;0003215;0001251;0045040;0002875;0007185;0012378;0000256;0003236;0004326;0001315;0011936
35	0003198;0000007;0001254;0001508;0003219;0004911;0001263;0008872;0000590;0003623;0001290;0000750;0001638;0010628;0002500;0000709;0001371;0001252;0002650;0001250
36	0000252;0001270;0001290;0001250;0002045;0003593;0000577;0001254;0003700;0005949;0000007;0001252;0001263;0001943
37	0004756;0009045;0001644;0030781;0001545;0025502;0002098;0001985;0002910;0001518;0002045;0001663;0001657;0002876;0003236;0001678;0001698;0003075;0000256;0001987;0011123;0011968;0001655;0002013;0001513;0001629;0002090;0003394;0001254;0002240;0008947;0001942;0000952;0002901;0012531;0002280;0000007;0001645;0002789;0003552;0001290;0003215;0008305;0001397;0001639;0001252;0001958;0003234;0001324;0001404;0003738
39	0001263;0001290;0002151;0003542;0002072;0003745
50	0000007;0000980;0000642;0000648;0007663;0030528;0001290;0002079;0002120;0001284;0001250;0010864;0000253;0001272;0003593;0000556;0001251;0000486;0000407;0001265;0002305;0007108;0011344;0000639;0001508
51	0002376;0001508;0001276;0010864;0002093;0001522;0001939;0002353;0012639;0000316;0000486;0000639;0000369;0001161;0000649;0000512;0000286;0002167;0000407;0000668;0001288;0005280;0000545;0001263;0001347;0001252;0000648;0001250;0002240;0008763;0000737;0002910;0006887;0000654;0002015;0003593;0011344;0001319;0000580;0003487;0000510;0000248;0006555;0000431;0007305;0003186;0001332;0000007;0002007;0008619;0002415
53	0001892;0001290;0002179;0001252;0000007;0002013
54	0000369;0002478;0007526;0004322;0003301;0002751;0004979;0000821;0001264;0003621;0005681;0000007;0005374;0000979;0002958;0000403;0000460;0002205;0005403;0005576;0001973;0002657;0001034;0002090;0002091;0005387;0011108;0000926;0001256;0002716;0002938;0003025;0001045;0000684;0003312;0000944;0002983;0003307;0002808;0005930;0008818;0008905
58	0003828;0003323;0001315;0000006;0001265;0001771;0003677;0003691;0002650;0003722;0009025;0010628;0001284;0003557;0009130;0031189;0003687;0009027;0003307;0002359;0000278;0001561;0003306;0001319;0001347;0001761;0000007;0003690;0003798;0001533;0000298;0002058;0008872;0001425;0003324;0002015;0003810;0001644;0008180;0002515;0001283;0003701;0003803;0003458;0003445;0000218;0002747;0001558;0002063;0001270;0001276;0002804;0003713;0003715;0003236;0000467;0000473;0001263;0003805;0003327;0003555;0003736;0006785;0003391;0002460;0003551;0012899;0000602;0000508;0011968;0001508;0003121;0001612;0032341;0002938;0003577;0000276;0002093;0000275;0003755;0001374;0002355;0001989;0002792;0009055;0003546;0001638;0002483;0000316;0001623;0030192;0009058;0001290;0000347;0002067;0000774;0001349;0003552;0002068;0002312;0010804;0008981;0006380;0012785;0002205;0000767;0000028;0006466;0002751;0001249;0002987;0002089;0011807;0001388;0003273;0004322;0001762;0002033;0001252;0003198;0003089;0003202;0031546;0002090;0002421;0030878;0030198;0003325;0002857;0002827;0002877;0030196;0002375;0000470;0002808;0030200;0002970;0007514;0002878;0001181;0000047;0000369;0000775;0005855;0000054;0000883;0001622;0006829;0000239;0000765;0002705;0000343
59	0004942;0012727;0004933;0005181;0000006;0004970;0011834;0001009;0001250;0100659;0002119;0001249;0030891;0002092;0004944;0007866;0011499;0000028;0002789;0002566;0100770;0000822;0001643;0002875;0001640;0012499;0002105;0004950;0001166;0000525;0002107;0000766;0012163;0000278;0100749;0000316;0001677;0005112;0000965;0002140;0002138;0002686;0012763;0002616;0002650;0001647;0001659;0011106;0002705;0002326;0100775;0000978;0000098;0001763;0200146;0005162;0000023;0004959
60	0000508;0000072;0002652;0001263;0000280;0001508;0000307;0000286;0000482;0001100;0000278;0000506;0002126;0000343;0002553;0001249;0002000;0001250;0002357;0005487;0000347;0000233;0010529;0002381;0002300;0001510;0002650;0100308;0001302;0003189;0030502;0012905;0002326;0001387;0012157;0000293;0009942;0000126;0002162;0000431;0100540;0000445;0000437;0000270;0007227;0000243;0000252;0000494;0000612;0040188;0000470;0000448;0011968;0001328;0000465;0000154;0000316;0000239;0000588;0000637;0001518;0000407;0000175;0007325;0008796;0001256;0000348;0011342;0002751;0000006;0002571;0000204;0000882;0000518;0002983;0000768;0010566;0010311;0002808;0000064;0100578;0002992;0001034;0000767;0002558;0100560;0100559;0003298;0000902;0005815;0003724;0000045;0000202;0001268;0000618;0004322;0002721;0000158;0100613;0002015;0000219;0008897;0010066;0000568;0001252;0003196;0000463;0001939;0000396;0000028;0000369;0001643;0011800;0000054;0001647;0001650;0002119;0000567;0001290;0000007;0001274
70	0001639;0011675;0000006;0001631;0001723;0030682;0001644;0004308;0001712;0001635;0000982;0001874;0003198;0003457;0003236;0000407;0100578
71	0000508;0000072;0002652;0001263;0000280;0001508;0000307;0000286;0000482;0001100;0000278;0000506;0002126;0000343;0002553;0001249;0002000;0001250;0002357;0005487;0000347;0000233;0010529;0002381;0002300;0001510;0002650;0100308;0001302;0003189;0030502;0012905;0002326;0001387;0012157;0000293;0009942;0000126;0002162;0000431;0100540;0000445;0000437;0000270;0007227;0000243;0000252;0000494;0000612;0040188;0000470;0000448;0011968;0001328;0000465;0000154;0000316;0000239;0000588;0000637;0001339;0000568;0005484;0002119;0001274;0000202;0000377;0000219;0000589;0004322;0000006;0000365;0030680;0000408;0008619;0011462
88	0001706;0006685;0001644;0031319;0001678;0004755;0001695;0005110;0000006;0001712;0030682;0000982;0001874;0003198;0003457;0003236;0000407;0100578
90	0001249;0001822;0000006;0000407;0011987;0010566;0001256;0002135;0010054;0008449;0011988;0002650;0006429;0010109;0010034;0002878;0003016;0004629;0001596;0004209;0011989;0000687;0000405;0000365;0003468;0100240;0001250;0002093;0001508;0001376;0010058;0000501;0001903;0001482;0003306
93	0001651;0000006;0006695;0012020;0010452;0001629
94	0001635;0002076;0100585;0001081;0002326;0100784;0001935;0001394;0200008;0007763;0002040;0002204;0000524;0100761;0001399;0000790;0001048;0007420;0001250;0002105;0001082;0004936;0001342;0000787;0000421;0002239;0001409;0002138;0000646;0002092;0001903;0006107;0002248;0000006;0030491;0002249;0002707;0000227;0001901;0002390;0004406;0002140;0000214;0001217;0001694;0002408;0002629;0002604;0006574;0000471;0000961;0000822;0002573;0000434;0030049;0002094;0001232;0006548;0001425
95	0000752;0000316;0001250;0001324;0002059;0000407;0000431;0002188;0001252;0001263;0006846;0000007;0001272;0025356;0001290;0006817;0001298;0003324;0007370;0000445;0002013;0002104;0003396
100	0004332;0001831;0001072;0000958;0002028;0001945;0002090;0002716;0000821;0001744;0000100;0100806;0001903;0001019;0000944;0001508;0002665;0001880;0000989;0007549;0002240;0100646;0000969;0002960;0100840;0004430;0001596;0010976;0011123;0005354;0025379;0002788;0006532;0002014;0030813;0010444;0005390;0003212;0012393;0000403;0005403;0002849;0000246;0004429;0001973;0002099;0012191;0005424;0001442;0002850;0002718;0005359;0002644;0005365;0000907;0002841;0008348;0001967;0030273;0001890;0000007;0002720;0031164;0000926
102	0000006;0000962
103	0100614;0002371;0000965;0001332;0001263;0002119;0001337;0003683;0002828;0001087;0004963;0002315;0000508;0030038;0002910;0001609;0030356;0000819;0002415;0000054;0001369;0007256;0030880;0002313;0007076;0004809;0003552;0001640;0011834;0001433;0009709;0004322;0000737;0001955;0002079;0012490;0004942;0006579;0001063;0004374;0002376;0040140;0000252;0002187;0002132;0012444;0100578;0000639;0000369;0002650;0005550;0000625;0009704;0007052;0002139;0002960;0002510;0002514;0001250;0008936;0000821;0009710;0001357;0007108;0000958;0001639;0002355;0003593;0007441;0000006;0012733;0011509;0007988;0001304;0007374;0001266;0001347;0002446;0001285;0006799;0002066;0006999;0000648;0000750;0001260;0001336;0007688;0002015;0002396;0001508;0002273;0007340;0006957;0001256;0003487;0002359;0002020;0012697;0003484;0007811;0008947;0001878;0000007;0002063
107	0000399;0000007
109	0003077;0000458;0001249;0004409;0000007;0001513;0000855
111	0000006;0100660;0008936;0001270;0001644;0000739;0001260;0002322;0001347;0002072;0002509;0003621;0001635;0000317;0001332;0001336;0002194;0002310;0002355;0001288
118	0001426;0004972;0005117;0004421
120	0000252;0000605;0002510;0003593;0002015;0000007;0002465;0003828;0100543;0001263;0000577;0001264;0007256;0002282;0000639;0001250
125	0000707;0030955
126	0003676;0000012;0001300;0001332;0002172;0000298;0000716;0011960;0003745;0031908;0002067;0002529;0100315;0001260;0001621;0000751;0002019;0002063;0001337;0002360;0000006;0002015;0002322;0003587;0000738;0007311;0012332;0000726;0000707;0030955
132	0000256;0006580;0002465;0001263;0002007;0011344;0003593;0003235;0000007;0003202;0002910;0001631;0001397;0001786;0001290;0001642;0001396;0001410;0000316;0002904;0001680;0001508;0001250;0000750;0000407;0002059;0003676
151	0002315;0001336;0007359;0002353;0002378;0100576;0002197;0001249
154	0001513;0000007;0010982;0012340;0031819;0000006;0001426;0002099
155	0001513;0000007;0010982;0012340;0031819;0000006
158	0000369;0000343;0003429;0040082;0001272;0001510;0000486;0000248;0000748;0000219;0002066;0000252;0002540;0002179;0000717;0001249;0003593;0000817;0001250;0002059;0003202;0003196;0001290;0011344;0006808;0001336;0000463;0001348;0001263;0000752;0000742;0005487;0000154;0000718;0000750;0000319;0000007;0000639;0001999;0007103;0001344;0005469
174	0000007;0045057
175	0000280;0002376;0000248;0000179;0000518;0000053;0001071;0002650;0003304;0001653;0000154;0032198;0100790;0003302;0001875;0002014;0002738;0001252;0000943;0012068;0000463;0001250;0002240;0002205;0002750;0000158;0000283;0002756;0004568;0000007;0000926;0001609;0001290;0000750;0002684;0002808;0002059;0001922;0001388;0001249;0004322;0005280;0001061;0001257;0000252;0001939;0001387;0000670;0003103;0100729;0000023;0002167;0002997;0008551;0002024;0008430;0000303;0100660;0000389;0004337;0000316;0001369;0001537;0000212;0002360;0011276;0001744;0000768;0012471;0001763;0003196;0000431
176	0002970;0000006;0000926;0002857;0002655;0003370;0002750;0003508;0001388;0003027;0001156;0002938;0010582;0011800;0001552;0003016;0001609;0004482;0005285;0009381;0000303;0025428;0008905;0000007;0000272;0000470;0011304;0000368;0002651;0002758;0009778;0007281;0010306;0002983;0005930;0002795;0001597;0010886;0005280;0008843;0004322;0010055;0002515;0100777;0002007;0001507;0005616
178	0003198;0001943;0001395;0000007;0001324;0003236;0000272;0003077;0000490;0001638;0004322;0000219;0002910;0000233;0005280;0001714;0011800;0000455;0003693;0002240;0002721;0000293;0001256;0002155
181	0001513;0000007;0010982;0012340;0031819;0000006
182	0001631;0001402;0000337;0001328;0004617;0005280;0000772;0006579;0000593;0000580;0009882;0000089;0004969;0000400;0000490;0001256;0000006;0000097;0003593;0000482;0002937;0000545;0001284;0003124;0000076;0000582;0001396;0001297;0001738;0003774;0000585;0000627;0001492;0001508;0000316;0003022;0003189;0001629;0000518;0001394;0001636;0001947;0008659;0000081;0000325;0000110;0001399;0002155;0000533;0003829;0002895;0001920;0000486;0002910;0001680;0006571;0004467;0004209;0000520;0000233;0005105;0001511;0001156;0000028;0000268;0009891
183	0002089;0008660;0002093;0002009;0000079;0002615;0004492;0000007;0000252;0001562;0100519;0001426;0004972;0005117;0004421
185	0002089;0008660;0002093;0002009;0000079;0002615;0004492;0000007;0000252;0001562;0100519;0001426;0004972;0005117;0004421
186	0000020;0000729;0002021;0008587;0000455;0000637;0001763;0007018;0001263;0000179;0004691;0005280;0006118;0002187;0001513;0002342;0010864;0002245;0002121;0003487;0012704;0000256;0000494;0000219;0000684;0000629;0001518;0010628;0000343;0011800;0002069;0005824;0000750;0002307;0008504;0002465
189	0008672;0004417;0030880;0011506;0030507;0000790;0003159;0025324;0001063;0025520;0000488;0002756;0001678;0004950;0002653;0000083;0009830;0000007;0000648;0001138;0001942;0000965;0100758;0000121;0011001;0011021;0100518;0012213;0000164;0003774;0001903;0000924;0003761;0000805;0000010;0001297;0001508;0000787;0002621
190	0000045;0002225;0008734;0000058;0000939;0010464;0000027;0008214;0030680;0000028;0000100;0008232;0012244;0000047;0000062;0000771;0002667;0000030;0000054;0040171;0012870;0000149;0008726;0002215;0011969;0000823;0000815;0000133;0000846;0003251;0008730;0000868;0008665;0000786;0100779;0008193;0002750;0008187;0000037;0000044;0000147;0008715;0000026;0008163;0000798;0000953;0001419;0001508;0000007;0000127;0000826;0000835;0008197;0001944;0004319;0002902;0003560;0012245;0001417
